TotalRunTime;AverageSpeed;AverageDashFrequency;TotalStealthTime;TotalIdleTime;AverageAttackFrequency;AverageParryFrequency;TotalEnemiesKilled;TotalObjectsDestroyed
12.11986;3.405562;0.3;0.2810746;0.3689108;0.2;0.1;0;0
28.19999;3.608464;0.24;3.95838;7.845332;3.12032;1.11968;8;3
21.47999;4.276897;0.3;15.18525;3.518595;0;0;0;0
17.49999;2.640975;0.2333333;0;2.202331;0.1333333;0.06666667;0;0
15.59999;5.839341;0.5333334;1.976061;0.7402167;0;0;0;0
11.48;6.685838;0.6;1.44415;0.1485189;0;0;0;0
10.88;6.221272;0.4;0;0.501207;0;0;0;0
18.61999;6.351995;0.5333334;1.138139;0.6203585;0;0;0;0
31.23999;3.16443;0.1333333;26.52375;7.265501;0.06666667;0.03333334;0;1
20.91999;4.296692;0.2;20.02347;2.479699;0;0;0;0
23.41999;3.810401;0.2;20.04302;3.755551;0;0;0;0
11.88;4.955345;0.2;4.513215;1.363805;0;0;0;1
15.17999;3.099037;0.2666667;0;0.8765287;0.2666667;0.1333333;0;0
14.2;3.148379;0.25;0;0.3818148;0.2;0.1;0;0
11.64;6.160388;0.5;1.604866;0.6084069;0;0;0;0
30.13999;1.850938;0.06666667;23.54339;4.154833;0.03333334;0.01666667;0;0
34.45998;2.843143;0.1333333;21.6871;11.54013;0;0;0;2
35.79999;3.881675;0.4285715;33.48775;9.1145;0;0;0;0
16.2;4.775529;0.2666667;0.7158464;3.237687;0;0;0;0
31.27998;3.789949;0.2;2.807594;6.33785;3.933333;1.966667;16;1
13.60001;6.33132;0;1.544704;0.2001495;0;0;0;0
12.94;2.810122;0.2;0;0.8022619;0.2;0.1;0;0
26.13999;4.224181;0.16;17.51126;4.166588;0.08;0.04;0;0
29.69999;3.712352;0.08;7.128486;7.544575;2.48;1.24;11;2
34.93999;3.596223;0.2333333;6.254335;6.832772;2.666667;1.333333;12;0
17.56;5.729653;0.2666667;0.2827716;0.4002931;0;0;0;0
11.52;6.788883;0.7;0.3587619;0.1282575;0;0;0;0
14;3.210337;0.2;0;0.2958212;0.1;0.05;0;0
23.89999;4.048172;0.1;10.31328;4.668813;0;0;0;0
39.51999;3.306946;0.05714286;7.60708;14.10653;3.028572;1.514286;14;2
12.3;6.034284;0.5;0;0.6239957;0;0;0;0
12.05999;6.260537;0.5;0.3385912;0.4061878;0;0;0;0
31.96;3.251261;0.03333334;26.48333;8.504797;0.2;0.1;1;0
24.79999;3.411392;0.1;14.36927;5.99757;0;0;0;1
48.43997;2.842871;0.04444445;37.84729;17.78825;0;0;0;0
15.89999;3.031442;0.2;0;0.6358298;0.1333333;0.06666667;0;0
15.49999;5.03919;0.4666667;2.957469;3.62564;0;0;0;0
42.87999;3.113503;0.15;31.50363;16.0539;0.05;0.025;0;0
28.91999;2.510053;0.08;15.11732;13.93628;0;0;0;0
23.49999;3.856664;0;6.929051;5.175358;0;0;0;0
14.85999;6.421199;0.6;0.8400688;0.2211518;0;0;0;0
12.88;3.10032;0.1;0;0.2576998;0.2;0.1;0;0
41.73998;2.639466;0.1;28.40887;19.89273;0.15;0.075;1;0
37.43999;3.5601;0.05714286;8.98676;8.540274;3.857143;1.942857;15;1
16.12;5.417627;0.4666667;2.522777;2.048219;0;0;0;0
42.21999;1.453075;0.025;32.96181;11.55164;0.075;0.0375;0;0
53.87998;1.87817;0.04;42.5467;30.08747;0;0;0;1
13.88;2.703608;0.1;0;0.7545847;0.2;0.1;0;0
36.41999;2.543064;0.2285714;33.81011;16.61929;0.1714286;0.08571429;1;0
42.13998;2.426579;0.1;40.03717;19.66488;0;0;0;0
46.75999;2.830428;0.1333333;45.0371;19.38076;0;0;0;0
44.03998;2.181405;0.2;40.02841;21.91305;0;0;0;0
18.62;4.089072;0.1333333;11.93961;2.591589;0;0;0;0
12.7;6.451241;0.5;0.5857124;0.2610857;0;0;0;0
9.199997;6.030388;0.6;0.4997333;0.3891396;0;0;0;0
18.43999;2.138407;0.2;0;4.686458;0.3333333;0.1666667;0;1
28.09999;3.374373;0.32;20.2837;8.640423;0.08;0.04;0;0
18.01999;5.894736;0.5333334;3.038404;1.255467;0;0;0;1
12.36;6.30913;0.7;1.487419;0.2126366;0;0;0;0
57.01998;1.382604;0.05454546;53.91891;19.79188;0.09090909;0.04545455;0;1
14.8;5.212085;0.4;2.62482;1.690142;0;0;0;1
13.81999;5.500811;0.2;1.477253;1.222942;0;0;0;0
31.73999;3.084368;0;5.553614;6.920267;4.466667;2.233333;23;2
12.45999;5.709399;0.2;0.9169258;0.8216597;0;0;0;0
11.68;3.186611;0.25;0;0.2274358;0.2;0.1;0;0
53.37998;2.672095;0.08;4.417911;21.62897;3.4;1.7;31;6
36.87999;3.161782;0.05714286;5.820384;10.46677;3.771428;1.885714;19;2
16.62;4.871578;0.4666667;2.123543;3.60524;0.4;0.2;0;0
14.24;6.190604;0.7;0.8167279;0.4090915;0;0;0;0
13.85999;3.222295;0.2;0;0.4421215;0.2;0.1;0;0
47.19998;3.197528;0.2444444;9.401632;16.66386;4.755556;2.377778;32;2
17.83999;4.617565;0.4;4.87571;4.602613;0;0;0;0
13.1;2.942308;0.1;0;0.4813727;0.2;0.1;0;0
35.11999;3.280595;0.1142857;29.33082;11.05405;0;0;0;0
22.55999;5.014295;0.3;9.76122;2.986634;0;0;0;0
39.57999;3.127476;0.1714286;3.998839;12.7543;4.228572;2.114286;26;3
16.05999;2.760902;0.2;0;1.874676;0.1333333;0.06666667;0;0
27.53999;3.626612;0;4.375096;8.994432;0.32;0.16;0;0
12.7;6.156744;0.2;4.914484;0.2424715;0;0;0;0
23.95999;4.130461;0.1;0.8264189;5.794653;0.7;0.35;1;0
12.82;2.78561;0.1;0;1.433098;0.4;0.2;0;0
34.03999;3.572639;0.3333333;4.653942;11.53479;0.8666666;0.4333333;3;2
12.54;6.082856;0.5;0;0.4732195;0;0;0;1
24.79999;2.925826;0.1;0;10.9875;0;0;0;0
19.14;3.154954;0.1333333;9.065004;6.962717;3.066667;1.533333;9;0
23.33999;2.959279;0.1;12.84474;7.693201;2.4;1.2;10;2
13.62;3.176144;0.2;0;0.4496352;0.2;0.1;0;0
52.47998;2.715514;0.12;5.821755;25.69095;0.5600001;0.28;4;0
18.09999;3.374678;0.1333333;6.782915;7.445493;0;0;0;0
22.74;4.549483;0.3;1.503422;3.904078;3.2;1.6;6;2
12.48;2.66292;0.25;0;1.167048;0.2;0.1;0;0
31.81999;1.684445;0.01666667;0;4.905611;2.566667;1.283333;24;3
40.69999;1.188308;0.025;32.59617;16.60033;0.05;0.025;2;0
12.6;2.785883;0.2;0;1.021843;0.4;0.2;0;0
54.65998;1.241662;0.08;43.15929;38.02293;0;0;0;0
16.55999;3.260819;0.1333333;15.00618;2.775035;2.133333;1.066667;4;1
28.65999;2.581956;0.08;24.89503;11.28501;0;0;0;0
22.35999;2.056807;0.1;4.9623;4.308461;0.2;0.1;0;0
28.37999;1.285628;0.08;20.84744;19.68711;0;0;0;0
12.69999;4.093823;0.2;4.277508;3.910197;0;0;0;0
42.79998;2.228295;0;12.22598;18.3086;4.25;2.125;18;2
